elapsed (s),x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
65.934,0.182,0.714,-0.032,71.89,14.695,33.049
65.994,0.205,0.675,-0.488,111.22,36.768,53.354
66.063,0.631,0.449,-0.16,177.5,238.354,90.793
66.08200000000001,0.501,0.391,-0.552,174.695,268.72,121.585
66.142,0.62,0.05,-0.263,161.098,238.902,198.963
66.161,1.057,0.008,-0.682,137.561,262.073,205.671
66.211,0.785,-0.235,-0.38,87.927,199.146,227.561
66.29,1.08,-0.543,-0.151,23.171,212.561,217.927
66.309,1.167,-0.608,-0.006,5.793,230.427,207.256
66.369,0.762,-0.635,0.306,-49.024,194.207,191.768
66.438,0.764,-0.845,0.526,-53.049,164.695,176.524
66.517,0.52,-1.029,0.627,-62.073,96.89,153.598
66.536,0.529,-0.996,0.536,-60.488,114.207,140.915
66.586,0.183,-1.033,0.561,-63.11,22.927,104.878
66.665,0.302,-0.953,0.531,-34.939,19.207,52.073
66.744,0.232,-0.935,0.425,-8.232,-24.268,20.183
66.813,0.166,-0.925,0.414,4.024,-20.0,-7.683
66.892,0.095,-0.986,0.367,2.805,-44.329,-0.061
66.961,-0.015,-0.918,0.276,5.0,7.927,-13.537
67.04,0.015,-0.92,0.341,6.951,-4.207,-3.902
67.119,0.057,-0.964,0.301,1.89,-2.988,0.0
67.169,0.057,-0.926,0.319,0.244,0.549,1.28
67.188,0.025,-0.914,0.311,1.037,-2.073,0.0
67.267,0.053,-0.934,0.315,0.732,-4.024,1.098
67.336,0.065,-0.943,0.348,-2.927,-2.988,3.537
67.396,0.1,-0.924,0.362,-2.683,2.744,2.744
67.415,0.058,-0.932,0.333,-2.439,3.354,2.5
67.494,0.055,-0.934,0.338,1.768,-6.829,-0.793
67.544,0.092,-0.941,0.367,2.927,-0.427,1.28
67.563,0.097,-0.938,0.344,3.11,1.768,-1.159
67.623,0.049,-0.937,0.344,1.22,-7.012,-0.976
67.642,0.06,-0.923,0.313,1.463,-8.72,0.793
67.711,0.055,-0.94,0.336,0.61,7.134,-2.927
67.771,0.055,-0.944,0.341,-0.244,10.488,-1.646
67.79,0.032,-0.926,0.306,-0.122,8.72,-0.488
67.85,0.056,-0.943,0.329,-0.732,13.171,-0.366
67.869,0.011,-0.932,0.287,-1.037,6.402,-0.244
67.919,0.059,-0.943,0.358,-4.451,-2.927,6.22
67.938,0.06,-0.934,0.341,-4.146,0.915,7.073
104.99700000000001,0.142,0.896,-0.239,-3.841,0.061,-4.085
105.07600000000001,0.24,0.884,-0.371,6.707,-9.451,5.061
105.155,0.339,0.872,-0.395,3.659,-4.39,1.707
105.22400000000002,0.301,0.842,-0.306,11.585,3.659,-0.427
105.303,0.226,0.867,-0.357,25.305,-12.561,14.024
105.37200000000001,0.253,0.77,-0.214,47.012,-12.744,19.512
105.45100000000001,0.257,0.567,-0.254,119.878,39.39,56.524
105.53,0.587,0.268,-0.653,186.829,190.671,97.5
105.58000000000001,0.432,0.168,-0.432,167.622,181.585,148.11
105.59900000000002,0.501,0.153,-0.39,166.768,181.22,150.61
105.678,0.975,-0.21,-0.402,142.439,139.817,202.317
105.74700000000001,1.173,-0.449,-0.488,87.134,115.366,198.902
105.80700000000002,0.964,-0.527,-0.226,47.622,184.329,181.89
105.82600000000001,1.041,-0.598,-0.091,37.378,169.939,177.378
105.905,0.629,-0.745,0.214,-5.366,171.89,164.329
105.95500000000001,0.842,-0.866,0.368,-9.207,182.866,143.902
105.97400000000002,0.614,-0.889,0.408,-15.244,162.744,134.268
106.034,0.63,-0.958,0.443,-14.573,104.817,106.341
106.053,0.581,-0.91,0.444,-18.72,118.72,94.817
106.12200000000001,0.271,-0.959,0.475,-25.488,41.646,83.11
106.18200000000002,0.188,-0.942,0.408,-23.476,14.939,61.585
106.20100000000001,0.125,-0.95,0.439,-18.293,-1.768,55.427
106.26100000000001,0.251,-0.915,0.403,-7.378,0.183,34.268
106.28,0.179,-0.926,0.39,-7.622,16.951,32.622
106.33000000000001,0.053,-0.954,0.378,-7.317,7.805,26.524
106.34900000000002,0.093,-0.937,0.366,-4.39,2.073,23.049
106.409,0.064,-0.929,0.347,-0.854,0.305,4.939
106.428,0.027,-0.93,0.363,2.988,-4.756,3.841
135.442,0.052,-0.938,0.327,0.732,1.402,-4.024
135.461,0.009,-0.943,0.323,0.793,-4.146,-2.5
135.52100000000002,0.053,-0.936,0.326,0.244,5.854,2.439
135.54,0.083,-0.945,0.326,-0.732,11.829,0.671
135.59,0.044,-0.959,0.306,-0.976,19.817,-4.573
135.669,0.113,-0.923,0.337,-0.976,-4.512,-16.951
135.688,0.145,-0.941,0.371,0.0,-8.171,-24.817
135.748,0.348,-0.964,0.439,11.524,-18.72,-62.683
135.817,0.554,-1.094,0.421,25.488,-103.293,-165.427
135.89600000000002,0.679,-0.986,0.464,17.927,-72.5,-201.463
135.915,0.674,-0.975,0.437,16.402,-114.39,-209.268
135.965,0.916,-0.874,0.229,3.354,-164.268,-222.866
136.044,1.064,-0.589,-0.125,-60.976,-274.451,-225.854
136.123,1.044,-0.34,-0.37,-139.024,-219.39,-212.805
136.192,0.901,-0.085,-0.584,-192.5,-252.256,-178.049
136.27100000000002,0.629,0.157,-0.66,-209.268,-167.5,-118.841
136.34,0.342,0.328,-0.503,-203.841,-39.878,-79.512
136.419,0.072,0.543,0.24,-123.232,51.829,-40.671
136.498,0.065,0.748,-0.012,1.402,6.463,-9.817
136.567,0.135,0.906,-0.366,24.634,-3.963,2.561
136.64600000000002,0.274,0.917,-0.238,15.305,-11.707,6.829
136.696,0.214,0.886,-0.247,27.927,-1.28,11.89
136.715,0.151,0.826,-0.116,39.512,-7.622,17.988
136.794,0.071,0.747,-0.414,105.366,-7.622,54.512
136.873,0.201,0.533,-0.551,160.244,97.805,82.5
136.923,0.614,0.267,-0.122,180.427,121.89,118.598
136.942,0.779,0.261,-0.378,192.134,209.756,119.695
137.02100000000002,1.304,0.011,-0.422,157.622,343.354,191.037
137.071,1.029,-0.27,-0.727,68.537,293.78,226.646
137.09,0.735,-0.408,-0.317,56.829,237.561,228.659
137.15,0.827,-0.492,-0.113,1.89,119.268,232.805
137.169,0.864,-0.749,0.031,3.11,55.61,232.988
137.248,0.669,-0.791,0.232,-33.232,258.476,233.354
137.298,0.421,-1.218,0.424,-46.585,106.768,223.354
137.317,0.769,-1.242,0.396,-35.793,113.354,209.146
137.377,0.295,-1.115,0.55,-52.5,97.012,161.707
137.39600000000002,0.362,-1.148,0.585,-50.671,58.476,138.354
137.446,0.599,-0.949,0.529,-25.915,34.512,62.988
137.465,0.439,-0.882,0.559,-21.098,36.159,43.902
137.525,0.304,-0.92,0.483,-5.671,32.317,35.427
137.544,0.381,-0.942,0.547,-5.122,44.573,31.037
137.604,0.142,-0.956,0.38,2.256,37.195,5.183
137.623,0.148,-0.917,0.363,6.463,18.354,-2.561
137.673,0.077,-0.939,0.323,14.39,-37.622,-6.707
137.692,0.107,-0.965,0.343,10.183,-32.439,-3.598
137.752,0.079,-0.929,0.332,7.378,-0.915,-17.561
137.77100000000002,0.019,-0.96,0.338,4.512,5.671,-15.915
137.821,0.055,-0.975,0.336,6.524,-4.146,-6.402
137.9,-0.062,-0.942,0.337,1.524,-0.671,-5.549
137.919,-0.026,-0.94,0.303,1.28,-5.976,0.732
137.979,0.022,-0.947,0.34,1.646,-9.268,2.744
137.998,0.099,-0.939,0.343,1.646,1.402,0.122
138.048,-0.005,-0.955,0.318,-0.122,-2.073,2.988
138.067,0.039,-0.936,0.362,-3.598,-2.073,6.585
138.127,0.1,-0.935,0.383,-4.451,5.61,7.317
138.14600000000002,0.093,-0.93,0.394,-2.683,11.28,2.195
138.196,0.008,-0.952,0.34,0.427,-19.512,1.402
138.275,0.053,-0.938,0.374,-2.195,5.488,2.012
138.294,0.046,-0.932,0.349,-2.683,7.744,1.89
138.354,0.051,-0.945,0.348,-1.28,-8.963,2.378
138.373,0.068,-0.939,0.364,-0.427,-2.195,1.037
138.423,0.023,-0.946,0.335,1.28,-3.232,-1.646
171.474,1.213,-0.892,-0.674,-203.171,-219.695,-215.854
171.524,1.025,-0.718,-0.829,-247.5,-186.768,-189.695
171.543,0.848,-0.653,-0.916,-262.439,-183.902,-174.39
171.603,0.779,-0.417,-0.81,-286.159,-86.768,-132.134
171.62199999999999,0.655,-0.351,-0.605,-280.793,-32.073,-121.402
171.691,0.196,-0.081,-0.603,-244.39,-68.293,-86.037
171.75099999999998,0.372,0.19,-0.334,-185.61,-54.817,-57.805
171.76999999999998,0.374,0.32,-0.242,-164.146,-27.073,-56.707
171.82999999999998,0.329,0.615,-0.141,-100.305,-20.732,-49.939
171.849,0.328,0.658,-0.114,-82.012,-4.451,-41.28
171.899,0.188,0.769,-0.053,-39.756,10.671,-21.159
171.918,0.188,0.814,-0.121,-26.829,13.841,-14.817
171.978,0.052,0.895,-0.19,3.354,8.293,0.976
171.99699999999999,0.122,0.896,-0.282,8.659,1.28,4.085
172.057,0.17,0.891,-0.373,12.744,-10.549,3.902
172.12599999999998,0.326,0.888,-0.41,8.415,2.439,2.805
172.14499999999998,0.304,0.87,-0.387,9.329,4.695,1.829
172.20499999999998,0.31,0.856,-0.293,14.207,8.78,3.354
172.224,0.287,0.846,-0.324,20.183,18.902,6.524
172.274,0.243,0.844,-0.29,27.988,1.524,14.878
172.293,0.294,0.787,-0.174,38.902,20.122,17.195
172.353,0.135,0.815,-0.309,56.646,9.329,26.89
172.37199999999999,0.182,0.714,-0.032,71.89,14.695,33.049
172.432,0.205,0.675,-0.488,111.22,36.768,53.354
172.50099999999998,0.631,0.449,-0.16,177.5,238.354,90.793
172.51999999999998,0.501,0.391,-0.552,174.695,268.72,121.585
172.57999999999998,0.62,0.05,-0.263,161.098,238.902,198.963
172.599,1.057,0.008,-0.682,137.561,262.073,205.671
172.649,0.785,-0.235,-0.38,87.927,199.146,227.561
172.728,1.08,-0.543,-0.151,23.171,212.561,217.927
172.74699999999999,1.167,-0.608,-0.006,5.793,230.427,207.256
172.807,0.762,-0.635,0.306,-49.024,194.207,191.768
172.87599999999998,0.764,-0.845,0.526,-53.049,164.695,176.524
172.95499999999998,0.52,-1.029,0.627,-62.073,96.89,153.598
172.974,0.529,-0.996,0.536,-60.488,114.207,140.915
173.024,0.183,-1.033,0.561,-63.11,22.927,104.878
173.103,0.302,-0.953,0.531,-34.939,19.207,52.073
173.182,0.232,-0.935,0.425,-8.232,-24.268,20.183
173.25099999999998,0.166,-0.925,0.414,4.024,-20.0,-7.683
173.32999999999998,0.095,-0.986,0.367,2.805,-44.329,-0.061
173.399,-0.015,-0.918,0.276,5.0,7.927,-13.537
173.478,0.015,-0.92,0.341,6.951,-4.207,-3.902
173.557,0.057,-0.964,0.301,1.89,-2.988,0.0
173.607,0.057,-0.926,0.319,0.244,0.549,1.28
173.62599999999998,0.025,-0.914,0.311,1.037,-2.073,0.0
173.70499999999998,0.053,-0.934,0.315,0.732,-4.024,1.098
173.774,0.065,-0.943,0.348,-2.927,-2.988,3.537
173.834,0.1,-0.924,0.362,-2.683,2.744,2.744
173.853,0.058,-0.932,0.333,-2.439,3.354,2.5
173.932,0.055,-0.934,0.338,1.768,-6.829,-0.793
173.982,0.092,-0.941,0.367,2.927,-0.427,1.28
174.00099999999998,0.097,-0.938,0.344,3.11,1.768,-1.159
174.06099999999998,0.049,-0.937,0.344,1.22,-7.012,-0.976
174.07999999999998,0.06,-0.923,0.313,1.463,-8.72,0.793
174.149,0.055,-0.94,0.336,0.61,7.134,-2.927
174.209,0.055,-0.944,0.341,-0.244,10.488,-1.646
174.228,0.032,-0.926,0.306,-0.122,8.72,-0.488
174.28799999999998,0.056,-0.943,0.329,-0.732,13.171,-0.366
174.307,0.011,-0.932,0.287,-1.037,6.402,-0.244
174.357,0.059,-0.943,0.358,-4.451,-2.927,6.22
174.37599999999998,0.06,-0.934,0.341,-4.146,0.915,7.073
211.43499999999997,0.142,0.896,-0.239,-3.841,0.061,-4.085
211.51399999999995,0.24,0.884,-0.371,6.707,-9.451,5.061
211.59299999999996,0.339,0.872,-0.395,3.659,-4.39,1.707
211.66199999999998,0.301,0.842,-0.306,11.585,3.659,-0.427
211.74099999999996,0.226,0.867,-0.357,25.305,-12.561,14.024
211.80999999999997,0.253,0.77,-0.214,47.012,-12.744,19.512
211.88899999999995,0.257,0.567,-0.254,119.878,39.39,56.524
211.96799999999996,0.587,0.268,-0.653,186.829,190.671,97.5
212.01799999999997,0.432,0.168,-0.432,167.622,181.585,148.11
212.03699999999998,0.501,0.153,-0.39,166.768,181.22,150.61
212.11599999999996,0.975,-0.21,-0.402,142.439,139.817,202.317
212.18499999999997,1.173,-0.449,-0.488,87.134,115.366,198.902
212.24499999999998,0.964,-0.527,-0.226,47.622,184.329,181.89
212.26399999999995,1.041,-0.598,-0.091,37.378,169.939,177.378
212.34299999999996,0.629,-0.745,0.214,-5.366,171.89,164.329
212.39299999999997,0.842,-0.866,0.368,-9.207,182.866,143.902
212.41199999999998,0.614,-0.889,0.408,-15.244,162.744,134.268
212.47199999999998,0.63,-0.958,0.443,-14.573,104.817,106.341
212.49099999999996,0.581,-0.91,0.444,-18.72,118.72,94.817
212.55999999999997,0.271,-0.959,0.475,-25.488,41.646,83.11
212.61999999999998,0.188,-0.942,0.408,-23.476,14.939,61.585
212.63899999999995,0.125,-0.95,0.439,-18.293,-1.768,55.427
212.69899999999996,0.251,-0.915,0.403,-7.378,0.183,34.268
212.71799999999996,0.179,-0.926,0.39,-7.622,16.951,32.622
212.76799999999997,0.053,-0.954,0.378,-7.317,7.805,26.524
212.78699999999998,0.093,-0.937,0.366,-4.39,2.073,23.049
212.84699999999998,0.064,-0.929,0.347,-0.854,0.305,4.939
212.86599999999996,0.027,-0.93,0.363,2.988,-4.756,3.841
241.87999999999994,0.052,-0.938,0.327,0.732,1.402,-4.024
241.89899999999994,0.009,-0.943,0.323,0.793,-4.146,-2.5
241.95899999999995,0.053,-0.936,0.326,0.244,5.854,2.439
241.97799999999995,0.083,-0.945,0.326,-0.732,11.829,0.671
242.02799999999996,0.044,-0.959,0.306,-0.976,19.817,-4.573
242.10699999999994,0.113,-0.923,0.337,-0.976,-4.512,-16.951
242.12599999999995,0.145,-0.941,0.371,0.0,-8.171,-24.817
242.18599999999995,0.348,-0.964,0.439,11.524,-18.72,-62.683
242.25499999999994,0.554,-1.094,0.421,25.488,-103.293,-165.427
242.33399999999995,0.679,-0.986,0.464,17.927,-72.5,-201.463
242.35299999999995,0.674,-0.975,0.437,16.402,-114.39,-209.268
242.40299999999996,0.916,-0.874,0.229,3.354,-164.268,-222.866
242.48199999999994,1.064,-0.589,-0.125,-60.976,-274.451,-225.854
242.56099999999995,1.044,-0.34,-0.37,-139.024,-219.39,-212.805
242.62999999999994,0.901,-0.085,-0.584,-192.5,-252.256,-178.049
242.70899999999995,0.629,0.157,-0.66,-209.268,-167.5,-118.841
242.77799999999996,0.342,0.328,-0.503,-203.841,-39.878,-79.512
242.85699999999994,0.072,0.543,0.24,-123.232,51.829,-40.671
242.93599999999995,0.065,0.748,-0.012,1.402,6.463,-9.817
243.00499999999994,0.135,0.906,-0.366,24.634,-3.963,2.561
243.08399999999995,0.274,0.917,-0.238,15.305,-11.707,6.829
243.13399999999996,0.214,0.886,-0.247,27.927,-1.28,11.89
243.15299999999996,0.151,0.826,-0.116,39.512,-7.622,17.988
243.23199999999994,0.071,0.747,-0.414,105.366,-7.622,54.512
243.31099999999995,0.201,0.533,-0.551,160.244,97.805,82.5
243.36099999999993,0.614,0.267,-0.122,180.427,121.89,118.598
243.37999999999994,0.779,0.261,-0.378,192.134,209.756,119.695
243.45899999999995,1.304,0.011,-0.422,157.622,343.354,191.037
243.50899999999996,1.029,-0.27,-0.727,68.537,293.78,226.646
243.52799999999996,0.735,-0.408,-0.317,56.829,237.561,228.659
243.58799999999994,0.827,-0.492,-0.113,1.89,119.268,232.805
243.60699999999994,0.864,-0.749,0.031,3.11,55.61,232.988
243.68599999999995,0.669,-0.791,0.232,-33.232,258.476,233.354
243.73599999999993,0.421,-1.218,0.424,-46.585,106.768,223.354
243.75499999999994,0.769,-1.242,0.396,-35.793,113.354,209.146
243.81499999999994,0.295,-1.115,0.55,-52.5,97.012,161.707
243.83399999999995,0.362,-1.148,0.585,-50.671,58.476,138.354
243.88399999999996,0.599,-0.949,0.529,-25.915,34.512,62.988
243.90299999999996,0.439,-0.882,0.559,-21.098,36.159,43.902
243.96299999999994,0.304,-0.92,0.483,-5.671,32.317,35.427
243.98199999999994,0.381,-0.942,0.547,-5.122,44.573,31.037
244.04199999999994,0.142,-0.956,0.38,2.256,37.195,5.183
244.06099999999995,0.148,-0.917,0.363,6.463,18.354,-2.561
244.11099999999993,0.077,-0.939,0.323,14.39,-37.622,-6.707
244.12999999999994,0.107,-0.965,0.343,10.183,-32.439,-3.598
244.18999999999994,0.079,-0.929,0.332,7.378,-0.915,-17.561
244.20899999999995,0.019,-0.96,0.338,4.512,5.671,-15.915
244.25899999999996,0.055,-0.975,0.336,6.524,-4.146,-6.402
244.33799999999994,-0.062,-0.942,0.337,1.524,-0.671,-5.549
244.35699999999994,-0.026,-0.94,0.303,1.28,-5.976,0.732
244.41699999999994,0.022,-0.947,0.34,1.646,-9.268,2.744
244.43599999999995,0.099,-0.939,0.343,1.646,1.402,0.122
244.48599999999993,-0.005,-0.955,0.318,-0.122,-2.073,2.988
244.50499999999994,0.039,-0.936,0.362,-3.598,-2.073,6.585
244.56499999999994,0.1,-0.935,0.383,-4.451,5.61,7.317
244.58399999999995,0.093,-0.93,0.394,-2.683,11.28,2.195
244.63399999999996,0.008,-0.952,0.34,0.427,-19.512,1.402
244.71299999999994,0.053,-0.938,0.374,-2.195,5.488,2.012
244.73199999999994,0.046,-0.932,0.349,-2.683,7.744,1.89
244.79199999999994,0.051,-0.945,0.348,-1.28,-8.963,2.378
244.81099999999995,0.068,-0.939,0.364,-0.427,-2.195,1.037
244.86099999999993,0.023,-0.946,0.335,1.28,-3.232,-1.646
277.9119999999999,1.213,-0.892,-0.674,-203.171,-219.695,-215.854
277.96199999999993,1.025,-0.718,-0.829,-247.5,-186.768,-189.695
277.98099999999994,0.848,-0.653,-0.916,-262.439,-183.902,-174.39
278.04099999999994,0.779,-0.417,-0.81,-286.159,-86.768,-132.134
278.05999999999995,0.655,-0.351,-0.605,-280.793,-32.073,-121.402
278.1289999999999,0.196,-0.081,-0.603,-244.39,-68.293,-86.037
278.1889999999999,0.372,0.19,-0.334,-185.61,-54.817,-57.805
278.2079999999999,0.374,0.32,-0.242,-164.146,-27.073,-56.707
278.2679999999999,0.329,0.615,-0.141,-100.305,-20.732,-49.939
278.2869999999999,0.328,0.658,-0.114,-82.012,-4.451,-41.28
278.33699999999993,0.188,0.769,-0.053,-39.756,10.671,-21.159
278.35599999999994,0.188,0.814,-0.121,-26.829,13.841,-14.817
278.41599999999994,0.052,0.895,-0.19,3.354,8.293,0.976
278.43499999999995,0.122,0.896,-0.282,8.659,1.28,4.085
278.49499999999995,0.17,0.891,-0.373,12.744,-10.549,3.902
278.5639999999999,0.326,0.888,-0.41,8.415,2.439,2.805
278.5829999999999,0.304,0.87,-0.387,9.329,4.695,1.829
278.6429999999999,0.31,0.856,-0.293,14.207,8.78,3.354
278.6619999999999,0.287,0.846,-0.324,20.183,18.902,6.524
278.71199999999993,0.243,0.844,-0.29,27.988,1.524,14.878
278.73099999999994,0.294,0.787,-0.174,38.902,20.122,17.195
278.79099999999994,0.135,0.815,-0.309,56.646,9.329,26.89
278.80999999999995,0.182,0.714,-0.032,71.89,14.695,33.049
278.86999999999995,0.205,0.675,-0.488,111.22,36.768,53.354
278.9389999999999,0.631,0.449,-0.16,177.5,238.354,90.793
278.9579999999999,0.501,0.391,-0.552,174.695,268.72,121.585
279.0179999999999,0.62,0.05,-0.263,161.098,238.902,198.963
279.0369999999999,1.057,0.008,-0.682,137.561,262.073,205.671
279.08699999999993,0.785,-0.235,-0.38,87.927,199.146,227.561
279.16599999999994,1.08,-0.543,-0.151,23.171,212.561,217.927
279.18499999999995,1.167,-0.608,-0.006,5.793,230.427,207.256
279.24499999999995,0.762,-0.635,0.306,-49.024,194.207,191.768
279.3139999999999,0.764,-0.845,0.526,-53.049,164.695,176.524
279.3929999999999,0.52,-1.029,0.627,-62.073,96.89,153.598
279.4119999999999,0.529,-0.996,0.536,-60.488,114.207,140.915
279.46199999999993,0.183,-1.033,0.561,-63.11,22.927,104.878
279.54099999999994,0.302,-0.953,0.531,-34.939,19.207,52.073
279.61999999999995,0.232,-0.935,0.425,-8.232,-24.268,20.183
279.6889999999999,0.166,-0.925,0.414,4.024,-20.0,-7.683
279.7679999999999,0.095,-0.986,0.367,2.805,-44.329,-0.061
279.83699999999993,-0.015,-0.918,0.276,5.0,7.927,-13.537
279.91599999999994,0.015,-0.92,0.341,6.951,-4.207,-3.902
279.99499999999995,0.057,-0.964,0.301,1.89,-2.988,0.0
280.0449999999999,0.057,-0.926,0.319,0.244,0.549,1.28
280.0639999999999,0.025,-0.914,0.311,1.037,-2.073,0.0
280.1429999999999,0.053,-0.934,0.315,0.732,-4.024,1.098
280.21199999999993,0.065,-0.943,0.348,-2.927,-2.988,3.537
280.27199999999993,0.1,-0.924,0.362,-2.683,2.744,2.744
280.29099999999994,0.058,-0.932,0.333,-2.439,3.354,2.5
280.36999999999995,0.055,-0.934,0.338,1.768,-6.829,-0.793
280.4199999999999,0.092,-0.941,0.367,2.927,-0.427,1.28
280.4389999999999,0.097,-0.938,0.344,3.11,1.768,-1.159
280.4989999999999,0.049,-0.937,0.344,1.22,-7.012,-0.976
280.5179999999999,0.06,-0.923,0.313,1.463,-8.72,0.793
280.58699999999993,0.055,-0.94,0.336,0.61,7.134,-2.927
280.64699999999993,0.055,-0.944,0.341,-0.244,10.488,-1.646
280.66599999999994,0.032,-0.926,0.306,-0.122,8.72,-0.488
280.72599999999994,0.056,-0.943,0.329,-0.732,13.171,-0.366
280.74499999999995,0.011,-0.932,0.287,-1.037,6.402,-0.244
280.7949999999999,0.059,-0.943,0.358,-4.451,-2.927,6.22
280.8139999999999,0.06,-0.934,0.341,-4.146,0.915,7.073
317.8729999999999,0.142,0.896,-0.239,-3.841,0.061,-4.085
317.9519999999999,0.24,0.884,-0.371,6.707,-9.451,5.061
318.0309999999999,0.339,0.872,-0.395,3.659,-4.39,1.707
318.0999999999999,0.301,0.842,-0.306,11.585,3.659,-0.427
